x,y,grf_interpolated,pred_k
13.086416,18.943472,1.1452771,0.80828726
10.151643,21.648077,0.98860365,0.7766507
10.896121,20.849281,1.0330772,0.76936597
10.96689,21.441551,1.1214052,0.7897564
10.353236,21.503424,1.0022904,0.77618253
11.484357,22.45921,1.3478467,0.8378358
11.305659,21.64344,1.2050371,0.80592155
11.083453,20.720469,1.0463288,0.7710719
11.311388,20.806871,1.0923741,0.7807036
13.08021,18.018724,1.0354254,0.7919143
12.923021,17.802797,0.9655755,0.7804584
13.000261,18.729113,1.0984778,0.80004406
12.324969,19.498322,1.0304829,0.7847319
12.036455,19.136915,0.94069475,0.76459587
11.83932,20.04196,1.0419229,0.77825326
10.5873785,21.57653,1.0517068,0.7842061
10.902697,21.07107,1.0650172,0.7763337
10.608457,23.182499,1.1841912,0.84170264
11.439,23.874048,1.6107688,0.8871594
16.592613,3.6882594,1.2879062,1.2279634
13.275821,29.645468,0.78729016,1.1851431
11.226183,23.786543,1.521614,0.8785135
3.9233885,19.72057,0.95726293,0.65531796
11.301474,23.37605,1.4522947,0.8650683
11.409576,21.83383,1.2445225,0.81509286
10.520264,22.934628,1.1290606,0.8305731
12.286448,17.695835,0.8012936,0.7476195
12.985233,18.264378,1.0374075,0.791101
11.474808,22.215105,1.3084224,0.8294235
10.840497,23.235346,1.258676,0.8487207
12.611975,18.084114,0.9104273,0.76966536
12.754833,18.290916,0.9733614,0.7801654
16.483818,3.8758197,1.3098823,1.209012
15.954907,4.0352106,1.3742545,1.139984
12.270887,19.107403,0.97052443,0.7738541
21.063494,11.80603,0.9450116,1.4976283
12.752422,18.728004,1.0280062,0.7880262
10.418022,24.517145,1.439894,0.89113593
10.328629,24.288507,1.3535774,0.8802132
10.157927,21.873821,1.0063461,0.7846537
21.076202,12.169933,0.9441863,1.4912153
11.303541,22.056282,1.2477751,0.81917864
12.649043,18.517702,0.97344905,0.77918553
7.603951,10.141226,1.5212704,0.40232515
12.097734,18.627386,0.87570864,0.7564142
10.744487,21.410196,1.0712413,0.78274757
11.075737,22.068047,1.1948355,0.81320196
11.968152,19.377937,0.9665034,0.76722836
12.25206,19.920725,1.0698746,0.7914966
12.517705,17.640785,0.8455484,0.7577317
12.685186,17.841648,0.9047776,0.7691631
11.605306,20.321178,1.0566349,0.77700436
16.242828,4.255839,1.3430239,1.1689293
11.760441,20.463978,1.0900666,0.78637373
